,pl_name,pl_orbper,pl_rade,pl_ratror,pl_rprs2,pl_ratdor,sy_kmag,pl_Teq,pl_Trock,ed_1.4_Trock,ed_1.4_Teq,delta_Na,efficiency_kmag,noise,ESM,TSM,disc_facility
925,Kepler-1174 b,6.89223458,2.614,0.013388190183433268,0.00017924363638777892,,12.762,1399.3,1788.1,2.7,0.5,,1.0,305.74532886991807,0.3316700876203169,,Kepler
926,Kepler-1175 b,37.94498797,2.453,0.029985107182214556,0.000899106652728895,,14.149,527.3,673.8,0.0,0.0,,1.0,579.1083549691649,0.09104133891663452,,Kepler
927,Kepler-1176 b,24.17378515,2.068,0.020834278385119264,0.0004340671558286478,,13.31,628.3,802.9,0.0,0.0,,1.0,393.51367639806807,0.11326007860013623,,Kepler
928,Kepler-1177 b,106.2559996,3.167,0.018732066287378224,0.0003508903073947318,,12.967,515.9,659.3,0.0,0.0,,1.0,336.0159018072565,0.05476341058529359,,Kepler
929,Kepler-1178 b,31.80873536,1.379,0.013449487428856289,0.00018088871209896335,,11.735,610.4,780.0,0.0,0.0,,1.0,190.5284483783756,0.09746752479277919,,Kepler
930,Kepler-1179 b,2.68505683,1.307,0.016192473262395642,0.0002621961903533978,,12.189,1145.8,1464.2,1.5,0.2,,1.0,234.83338088946894,0.5105043943436659,,Kepler
931,Kepler-118 b,7.51842012,1.343,0.01483430626343234,0.00022005664231730795,18.909638554216865,12.711,830.8,1061.6,0.1,0.0,,1.0,298.64815127592027,0.17240974216036278,,Kepler
932,Kepler-118 c,20.17202326,5.899,0.06515828194191169,0.004245601705621655,36.524096385542165,12.711,598.0,764.2,0.0,0.0,,1.0,298.64815127592027,1.362978096064613,,Kepler
933,Kepler-1180 b,16.85976251,2.516,0.016243948844714112,0.0002638658740696889,,13.521,1012.4,1293.7,0.4,0.0,,1.0,433.67045003886545,0.17758886214937716,,Kepler
934,Kepler-1181 b,4.89332736,1.59,0.010718340182127185,0.00011488281625980221,,12.363,1492.7,1907.5,2.0,0.5,,1.0,254.4250278185666,0.25730575269252143,,Kepler
935,Kepler-1182 b,11.17397251,2.357,0.01649520083566774,0.00027209165060901373,,13.67,1042.7,1332.4,0.6,0.1,,1.0,464.4723126638166,0.19331785116872205,,Kepler
936,Kepler-1183 b,28.50615646,4.222,0.02615326018126795,0.0006839930181090956,,14.006,779.0,995.5,0.1,0.0,,1.0,542.200396299674,0.2312499873789296,,Kepler
937,Kepler-1184 b,53.59889507,2.455,0.02206584917997672,0.00048690170003347924,,13.49,572.9,732.1,0.0,0.0,,1.0,427.52334128261515,0.08013816695906519,,Kepler
938,Kepler-1185 b,104.35081953,2.187,0.014962814967851557,0.0002238858317621626,,10.981,485.6,620.5,0.0,0.0,,1.0,134.6355753756098,0.06701480440979538,,Kepler
939,Kepler-1186 b,16.07671404,2.438,0.020136317170987288,0.00040547126921059747,,13.672,845.1,1079.9,0.1,0.0,,1.0,464.9003045404034,0.17657387457443707,,Kepler
940,Kepler-1187 b,18.87060067,3.016,0.024469337688786112,0.0005987484869278485,,13.151,812.5,1038.3,0.1,0.0,,1.0,365.7293639330507,0.30721627881779934,,Kepler
941,Kepler-1188 b,17.13661273,2.855,0.017333987779234217,0.0003004671323306412,,13.519,997.2,1274.3,0.4,0.0,,1.0,433.27120867911657,0.20599594688480982,,Kepler
942,Kepler-1189 b,3.78859972,1.265,0.010354802588348836,0.00010722193664367577,,12.675,1280.4,1636.2,1.1,0.2,,1.0,293.7377951647186,0.18989541972126256,,Kepler
943,Kepler-119 b,2.42208358,4.283,0.038496143396268966,0.0014819530563861026,7.377450980392157,12.58,1452.5,1856.2,31.0,6.6,,1.0,281.164076046888,3.419166357537045,,Kepler
944,Kepler-119 c,4.12512093,1.067,0.009782136984332328,9.569020398024237e-05,10.535,12.58,1217.0,1555.2,0.7,0.1,,1.0,281.164076046888,0.16036080653801557,,Kepler
945,Kepler-1190 b,10.45847283,1.089,0.014061733141409908,0.00019773233894022576,,12.212,616.7,788.0,0.0,0.0,,1.0,237.3339299579649,0.1017161222709753,,Kepler
946,Kepler-1191 b,5.6001912,1.612,0.01642070688195742,0.0002696396145031638,,13.526,999.6,1277.4,0.5,0.1,,1.0,434.6701636735547,0.20887250601736898,,Kepler
